date,exchange_rate
2017-08-20,297.39
2017-08-19,292.94
2017-08-18,292.33
2017-08-17,300.95
2017-08-16,301
2017-08-15,286.46
2017-08-14,298.39
2017-08-13,295.45
2017-08-12,307.22
2017-08-11,308.77
2017-08-10,298.05
2017-08-09,295.72
2017-08-08,296.53
2017-08-07,269.58
2017-08-06,264.17
2017-08-05,253.7
2017-08-04,219.11
2017-08-03,224.02
2017-08-02,217.98
2017-08-01,225.72
2017-07-31,201.79
2017-07-30,195.64
2017-07-29,205.17
2017-07-28,191.24
2017-07-27,202.7
2017-07-26,202.78
2017-07-25,202.71
2017-07-24,225.91
2017-07-23,229.08
2017-07-22,232
2017-07-21,216.81
2017-07-20,228.88
2017-07-19,194.99
2017-07-18,226.19
2017-07-17,191.51
2017-07-16,155.38
2017-07-15,168.82
2017-07-14,197.03
2017-07-13,205.85
2017-07-12,224.5
2017-07-11,190.11
2017-07-10,203.35
2017-07-09,237.72
2017-07-08,245.44
2017-07-07,240.4
2017-07-06,266.17
2017-07-05,266.76
2017-07-04,270
2017-07-03,277
2017-07-02,283.99
2017-07-01,261.99
2017-06-30,280.8
2017-06-29,293.8
2017-06-28,317.59
2017-06-27,286.21
2017-06-26,253
2017-06-25,278.73
2017-06-24,304.8
2017-06-23,326.75
2017-06-22,319.68
2017-06-21,324.29
2017-06-20,350
2017-06-19,358.76
2017-06-18,351.01
2017-06-17,368.61
2017-06-16,348
2017-06-15,341.82
2017-06-14,341.52
2017-06-13,389.19
2017-06-12,394.9
2017-06-11,339
2017-06-10,331.22
2017-06-09,280.21
2017-06-08,261.04
2017-06-07,256.02
2017-06-06,267.44
2017-06-05,248.37
2017-06-04,245.9
2017-06-03,224.5
2017-06-02,222.78
2017-06-01,220.07
2017-05-31,228.99
2017-05-30,228.71
2017-05-29,194.99
2017-05-28,174
2017-05-27,159.23
2017-05-26,165.14
2017-05-25,180.78
2017-05-24,192.75
2017-05-23,170
2017-05-22,166.68
2017-05-21,146.77
2017-05-20,123.2
2017-05-19,124.39
2017-05-18,96.54
2017-05-17,87
2017-05-16,87.91
2017-05-15,90.24
2017-05-14,88.89
2017-05-13,87.8
2017-05-12,85.38
2017-05-11,88.27
2017-05-10,89.15
2017-05-09,87.59
2017-05-08,89.66
2017-05-07,92.67
2017-05-06,95.84
